locality,apartment_type,bhk,floor,rent
Bilathikulam,Flat,1,4.0,9000
Chevayur,Apartment,2,7.0,19500
Mavoor Road,House,3,,39500
Feroke,Flat,2,8.0,12000
Koyilandy Road,House,2,,19000
Kunnamangalam,Apartment,1,3.0,6500
Kottuli,Apartment,1,11.0,7500
Beach Road,Apartment,3,0.0,35000
Malaparamba,Apartment,2,3.0,16000
Mukkam,Apartment,2,3.0,13500
Ulliyeri,Apartment,1,7.0,6500
Mathara,House,2,,18500
Bilathikulam,Apartment,3,6.0,31500
Chevayur,Flat,1,2.0,10500
Medical College,Villa,2,,34000
Palayam,Apartment,1,7.0,11000
Kuthiravattom,Flat,3,4.0,26000
Mathara,Flat,2,6.0,14000
Koyilandy Road,Flat,1,3.0,8500
Mathara,Apartment,1,10.0,8000
Kunnamangalam,Apartment,2,1.0,11500
Bilathikulam,Villa,3,,42500
Balussery,Apartment,2,8.0,12000
Beach Road,Apartment,2,12.0,24000
Calicut University,Flat,2,0.0,18000
Chevayur,Flat,2,8.0,17500
Mavoor Road,Apartment,4,1.0,56000
Calicut University,Flat,1,1.0,11000
Calicut University,Apartment,3,1.0,36000
Eranhipalam,Flat,1,7.0,8500
Vellimadukunnu,House,2,,16500
Thondayad,Flat,1,2.0,9000
Koyilandy Road,Villa,3,,38500
Beach Road,Apartment,2,1.0,24500
Kottuli,House,1,,9500
Puthiyara,House,1,,12000
Palayam,Villa,1,,17000
Kottuli,Flat,2,2.0,14000
Palayam,Apartment,2,7.0,21000
Koyilandy Road,House,2,,20500
Eranhipalam,Flat,2,8.0,15500
Mavoor Road,Flat,2,7.0,21500
Thondayad,Flat,2,5.0,15500
Eranhipalam,Flat,4,7.0,40500
Thondayad,Flat,2,4.0,15500
Mankave,Flat,1,0.0,8500
Mathara,Flat,3,4.0,26500
Bilathikulam,House,2,,20000
Palayam,Apartment,2,8.0,19500
Koyilandy Road,Apartment,2,15.0,16500
Chevayur,Apartment,2,7.0,19500
Panniyankara,Villa,2,,23000
Thiruvannur,Apartment,1,3.0,7000
Koyilandy Road,Apartment,2,1.0,16500
Koyilandy Road,Flat,2,5.0,16000
Calicut University,Apartment,1,10.0,11000
Mathara,House,2,,18000
Mankave,Flat,2,7.0,15000
Koduvally,Apartment,3,7.0,19000
Nadakkavu,House,1,,13000
Mathara,Villa,1,,12500
Eranhipalam,Flat,3,4.0,29000
Mathara,Apartment,2,11.0,15500
Eranhipalam,Apartment,1,4.0,9500
Eranhipalam,Flat,3,4.0,28500
Eranhipalam,Apartment,2,5.0,19500
Medical College,House,1,,14000
Mankave,House,2,,20000
Balussery,Flat,3,2.0,20000
Koyilandy Road,Flat,3,0.0,25500
Koduvally,Apartment,2,13.0,11000
Medical College,Flat,2,1.0,19500
Mathara,House,2,,17000
Bilathikulam,Apartment,2,8.0,18500
Koyilandy Road,Apartment,2,6.0,17000
Thiruvannur,Flat,1,6.0,6500
Beach Road,Flat,2,8.0,20500
Feroke,House,1,,9000
Puthiyara,House,4,,53500
Mathara,Flat,1,3.0,8000
Panniyankara,Apartment,3,4.0,25500
Medical College,Flat,1,1.0,12000
Thondayad,Apartment,1,12.0,9000
Chevayur,Apartment,3,4.0,31500
Thondayad,Apartment,3,6.0,31500
Kuthiravattom,Flat,3,5.0,25000
Chevayur,Flat,1,1.0,10000
Calicut University,Villa,3,,54000
Kottuli,Apartment,2,7.0,14000
Nadakkavu,House,1,,11500
Ulliyeri,Villa,3,,27000
Kottuli,Flat,2,0.0,12500
Panniyankara,Apartment,1,15.0,7500
Puthiyara,Apartment,2,3.0,19000
Nadakkavu,Apartment,2,3.0,21500
Thondayad,Apartment,2,12.0,17500
Eranhipalam,House,1,,11500
Kottuli,House,2,,17500
Medical College,Flat,2,1.0,22000
Bilathikulam,Apartment,3,10.0,32000
Malaparamba,Apartment,1,4.0,9000
Feroke,Flat,2,2.0,13000
Mathara,Apartment,3,4.0,26500
Medical College,Apartment,2,0.0,21500
Vellimadukunnu,Flat,1,5.0,8000
Thondayad,Flat,2,8.0,16000
Panniyankara,Flat,3,1.0,24000
Koduvally,Flat,4,1.0,26500
Nadakkavu,Flat,2,7.0,19000
Nadakkavu,House,3,,35500
Mukkam,Apartment,3,4.0,24000
Koyilandy Road,Flat,2,5.0,16000
Puthiyara,Villa,2,,27500
Malaparamba,Apartment,2,4.0,16500
Bilathikulam,Flat,1,4.0,9500
Nadakkavu,Apartment,1,10.0,10000
Kottuli,Flat,2,0.0,12000
Thondayad,House,2,,20000
Ulliyeri,Apartment,2,7.0,12000
Medical College,Flat,2,6.0,21000
Malaparamba,Flat,2,8.0,15500
Palayam,Apartment,3,13.0,31000
Koduvally,Apartment,2,8.0,12000
Medical College,Flat,3,7.0,32500
Beach Road,Villa,2,,34500
Chevayur,Flat,4,0.0,37500
Eranhipalam,Apartment,1,10.0,9000
Vellimadukunnu,Apartment,3,2.0,22500
Vellimadukunnu,Apartment,1,11.0,8500
Mavoor Road,Apartment,2,2.0,23500
Vellimadukunnu,Villa,2,,20500
Koduvally,Flat,2,0.0,11000
Kuthiravattom,Apartment,2,3.0,15000
Kuthiravattom,Apartment,2,6.0,16000
Nadakkavu,Apartment,1,8.0,11000
Vellimadukunnu,Flat,2,0.0,13500
Malaparamba,Flat,1,8.0,8000
Palayam,Flat,3,7.0,31500
Koyilandy Road,Villa,1,,13500
Mankave,Flat,2,1.0,15500
Eranhipalam,Flat,3,0.0,27500
Kottuli,Apartment,2,1.0,14500
Balussery,Apartment,2,2.0,13000
Puthiyara,Flat,3,3.0,30500
Kuthiravattom,Flat,3,6.0,23000
Nadakkavu,Villa,3,,46000
Mankave,Flat,2,7.0,14000
Puthiyara,Apartment,3,2.0,32500
Mathara,House,3,,29000
Nadakkavu,Apartment,3,12.0,30000
Beach Road,Villa,1,,20000
Mankave,Apartment,3,14.0,24500
Kottuli,Flat,2,7.0,13500
Feroke,House,1,,9000
Beach Road,Apartment,2,2.0,23500
Palayam,Apartment,3,8.0,30000
